date,close,volume,open,high,low
5/30/17,151.73,3665972,151.95,152.67,151.59
5/26/17,152.49,2443298,152.85,153,152.06
5/25/17,153.2,2581674,153.25,153.73,152.9459
5/24/17,152.51,3732394,152.21,152.76,151.23
5/23/17,152.03,2564503,152.57,153.68,151.92
5/22/17,152.64,3302089,152.1,152.84,151.5992
5/19/17,151.98,5622348,151.01,152.46,150.89
5/18/17,150.78,3273575,150.86,151.33,150.11
5/17/17,150.93,5189187,153.3,154.14,150.89
5/16/17,153.68,5510363,151.66,153.99,151.66
5/15/17,151.51,4228909,150.62,151.83,150.4502
5/12/17,150.37,3715292,150.3,151.265,150
5/11/17,150.65,5624852,151.05,151.15,149.79
5/10/17,151.25,4996776,151.651,152.37,151.13
5/9/17,152.11,6851286,152.6,153.1,151.5552
5/8/17,153.03,7490980,152.8,153.47,152.2
5/5/17,155.05,12513610,153.52,155.78,153
5/4/17,159.05,4278599,158.89,159.14,158.36
5/3/17,158.63,3993234,158.74,159.45,158.52
5/2/17,159.1,3150934,159.44,159.49,158.64
5/1/17,158.84,4931407,160.05,160.42,158.7
4/28/17,160.29,4153700,160.5,160.59,159.7
4/27/17,160.32,4122568,160.29,160.48,159.63
4/26/17,160.06,4325281,160.53,161.1,159.89
4/25/17,160.39,4857061,161.78,162.04,160.38
4/24/17,160.75,5175505,161.29,161.57,160.42
4/21/17,160.38,5600467,162.05,162.11,160.38
4/20/17,162.3,6486767,161.32,162.4,160.5
4/19/17,161.69,19282530,161.76,162.64,159.6
4/18/17,170.05,6004750,170.79,171.69,169.83
4/17/17,171.1,3719276,169.75,171.3,169.62
4/13/17,169.53,3203765,169.92,171.36,169.53
4/12/17,170.66,3276921,171.04,171.2,170.02
4/11/17,170.58,4890161,170.65,171.23,168.98
4/10/17,171.2,3789677,172.53,172.56,171
4/7/17,172.14,3588300,172.08,172.93,171.28
4/6/17,172.45,3435303,173.47,173.47,172.25
4/5/17,172.88,6237613,174.7,176.33,172.81
4/4/17,174.52,3108655,173.52,174.96,173.26
4/3/17,174.5,4286497,173.82,174.87,173.38
3/31/17,174.14,2913386,173.98,174.95,173.69
3/30/17,173.86,3168198,173.86,174.59,173.69
3/29/17,173.94,3083063,174.3,174.49,173.46
3/28/17,174.51,3523345,173.94,175,173
3/27/17,173.77,3259022,172.69,174.16,172.0937
3/24/17,173.83,3221645,175.12,175.5,173.39
3/23/17,174.82,3737732,174.43,175.67,173.56
3/22/17,174.78,3448947,174.04,175.06,172.8
3/21/17,173.88,3927626,176.01,176.23,173.84
3/20/17,175.7,2475875,175.65,176.18,175.14
3/17/17,175.65,5916099,176.29,176.79,175.65
3/16/17,177.24,4311734,178.46,179,176.82
3/15/17,175.81,3810410,175.71,176.28,174.75
3/14/17,175.72,3147484,176.18,176.82,175.211
3/13/17,176.46,3481898,177.85,178.06,176.415
3/10/17,177.83,3100107,178.21,179.49,177.42
3/9/17,177.18,5443665,179.15,179.25,175.88
3/8/17,179.45,3557388,180.75,180.95,179.3
3/7/17,180.38,2977496,180.71,181.29,180.1997
3/6/17,180.47,3199175,179.72,180.99,179.57
3/3/17,180.05,1824911,180.04,181.32,179.7649
3/2/17,180.53,2915947,181.88,181.88,180.43
3/1/17,181.95,3001512,180.48,182.55,180.03
2/28/17,179.82,3273324,179.38,180.63,179.35
2/27/17,179.4,3689926,181.19,181.25,179.28
2/24/17,181.35,3298816,180.21,181.49,179.89
2/23/17,181.65,2282522,182,182.5,180.92
2/22/17,181.15,3020538,180.09,181.34,180.09
2/21/17,180.26,4479596,180.6,180.79,179.12
2/17/17,180.67,3551140,181.25,181.57,180
2/16/17,181.43,3251022,181.45,182.79,180.87
2/15/17,181.68,2914083,180.2,181.92,179.81
2/14/17,180.13,2775296,178.57,180.13,178.35
2/13/17,179.36,3092266,179.24,179.9,178.84
